Step, Velocity, Density
0, 0.0, 0.0024271844660194173
1, 0.5, 0.0048543689320388345
2, 0.6666666666666666, 0.007281553398058253
3, 0.8, 0.009708737864077669
4, 0.88, 0.012135922330097087
5, 0.8666666666666667, 0.014563106796116505
6, 0.9142857142857143, 0.01699029126213592
7, 0.875, 0.019417475728155338
8, 0.9111111111111111, 0.021844660194174758
9, 0.92, 0.024271844660194174
10, 0.9090909090909091, 0.02669902912621359
11, 1.0, 0.02912621359223301
12, 0.9230769230769231, 0.03155339805825243
13, 0.9571428571428572, 0.03398058252427184
14, 0.9333333333333333, 0.03640776699029126
15, 0.9125, 0.038834951456310676
16, 0.9404761904761905, 0.040776699029126215
17, 0.9550561797752809, 0.04320388349514563
18, 0.9893617021276596, 0.04563106796116505
19, 0.9587628865979382, 0.0470873786407767
20, 0.9702970297029703, 0.04902912621359223
21, 0.9433962264150944, 0.05145631067961165
22, 1.018018018018018, 0.053883495145631066
23, 0.9565217391304348, 0.055825242718446605
24, 0.9152542372881356, 0.05728155339805825
25, 0.9426229508196722, 0.059223300970873784
26, 0.96, 0.06067961165048544
27, 0.9922480620155039, 0.06262135922330098
28, 0.9696969696969697, 0.06407766990291262
29, 0.9626865671641791, 0.06504854368932039
30, 0.9424460431654677, 0.06747572815533981
31, 0.9440559440559441, 0.06941747572815533
32, 0.958904109589041, 0.070873786407767
33, 0.9666666666666667, 0.07281553398058252
34, 0.9483870967741935, 0.07524271844660194
35, 0.9367088607594937, 0.0766990291262136
36, 0.95, 0.07766990291262135
37, 0.9447852760736196, 0.07912621359223301
38, 0.9520958083832335, 0.08106796116504854
39, 0.9415204678362573, 0.08300970873786408
40, 0.9428571428571428, 0.08495145631067962
41, 0.9550561797752809, 0.08640776699029126
42, 0.9060773480662984, 0.08786407766990291
43, 0.9513513513513514, 0.08980582524271845
44, 0.9526315789473684, 0.09223300970873786
45, 0.9430051813471503, 0.09368932038834951
46, 0.9030612244897959, 0.09514563106796116
47, 0.9343434343434344, 0.09611650485436893
48, 0.9195979899497487, 0.09660194174757282
49, 0.9310344827586207, 0.09854368932038834
50, 0.9219512195121952, 0.09951456310679611
51, 0.9423076923076923, 0.10097087378640776
52, 0.9330143540669856, 0.10145631067961165
53, 0.9330143540669856, 0.10145631067961165
54, 0.9230769230769231, 0.10097087378640776
55, 0.9380952380952381, 0.10194174757281553
56, 0.9248826291079812, 0.10339805825242719
57, 0.9259259259259259, 0.10485436893203884
58, 0.908256880733945, 0.10582524271844661
59, 0.9120370370370371, 0.10485436893203884
60, 0.9302325581395349, 0.10436893203883495
61, 0.9493087557603687, 0.10533980582524272
62, 0.8909090909090909, 0.10679611650485436
63, 0.9192825112107623, 0.10825242718446602
64, 0.92, 0.10922330097087378
65, 0.9030837004405287, 0.11019417475728155
66, 0.9082969432314411, 0.11116504854368932
67, 0.9295154185022027, 0.11019417475728155
68, 0.8917748917748918, 0.11213592233009709
69, 0.9260869565217391, 0.11165048543689321
70, 0.9316239316239316, 0.11359223300970873
71, 0.9313304721030042, 0.11310679611650486
72, 0.8931623931623932, 0.11359223300970873
73, 0.8658008658008658, 0.11213592233009709
74, 0.8695652173913043, 0.11165048543689321
75, 0.8836206896551724, 0.11262135922330097
76, 0.9012875536480687, 0.11310679611650486
77, 0.8448275862068966, 0.11262135922330097
78, 0.8675213675213675, 0.11359223300970873
79, 0.8565400843881856, 0.11504854368932038
80, 0.8625, 0.11650485436893204
81, 0.8284518828451883, 0.11601941747572815
82, 0.85, 0.11650485436893204
83, 0.9012345679012346, 0.11796116504854369
84, 0.9109311740890689, 0.11990291262135923
85, 0.9032258064516129, 0.1203883495145631
86, 0.9163346613545816, 0.12184466019417475
87, 0.9402390438247012, 0.12184466019417475
88, 0.9133858267716536, 0.12330097087378641
89, 0.89453125, 0.12427184466019417
90, 0.8996138996138996, 0.12572815533980583
91, 0.9260700389105059, 0.12475728155339806
92, 0.9294117647058824, 0.12378640776699029
93, 0.905511811023622, 0.12330097087378641
94, 0.8818897637795275, 0.12330097087378641
95, 0.8828125, 0.12427184466019417
96, 0.8700787401574803, 0.12330097087378641
97, 0.8549019607843137, 0.12378640776699029
98, 0.8346456692913385, 0.12330097087378641
99, 0.852589641434263, 0.12184466019417475
100, 0.8565737051792829, 0.12184466019417475
101, 0.86328125, 0.12427184466019417
102, 0.8941176470588236, 0.12378640776699029
103, 0.90234375, 0.12427184466019417
104, 0.8774703557312253, 0.12281553398058252
105, 0.8832684824902723, 0.12475728155339806
106, 0.8754863813229572, 0.12475728155339806
107, 0.85, 0.1262135922330097
108, 0.8841698841698842, 0.12572815533980583
109, 0.8910505836575876, 0.12475728155339806
110, 0.849802371541502, 0.12281553398058252
111, 0.8893280632411067, 0.12281553398058252
112, 0.8543307086614174, 0.12330097087378641
113, 0.85546875, 0.12427184466019417
114, 0.8901960784313725, 0.12378640776699029
115, 0.8888888888888888, 0.12233009708737864
116, 0.8725099601593626, 0.12184466019417475
117, 0.8473895582329317, 0.12087378640776698
118, 0.8804780876494024, 0.12184466019417475
119, 0.8809523809523809, 0.12233009708737864
120, 0.87890625, 0.12427184466019417
121, 0.8482490272373541, 0.12475728155339806
122, 0.8984375, 0.12427184466019417
123, 0.9147286821705426, 0.12524271844660195
124, 0.9038461538461539, 0.1262135922330097
125, 0.9299610894941635, 0.12475728155339806
126, 0.9015748031496063, 0.12330097087378641
127, 0.864, 0.12135922330097088
128, 0.8755020080321285, 0.12087378640776698
129, 0.9123505976095617, 0.12184466019417475
130, 0.8853754940711462, 0.12281553398058252
